,1,0,drug_class,weight
0,weed,0.14482758620689656,cannabis,14.482758620689657
1,cannabis,0.25301724137931036,cannabis,25.301724137931036
2,marijuana,0.6021551724137931,cannabis,60.21551724137931
3,other,0.00847457627118644,depressants,0.847457627118644
4,other,0.00847457627118644,depressants,0.847457627118644
5,other,0.00847457627118644,depressants,0.847457627118644
6,other,0.00847457627118644,depressants,0.847457627118644
7,other,0.01694915254237288,depressants,1.694915254237288
8,other,0.01694915254237288,depressants,1.694915254237288
9,other,0.01694915254237288,depressants,1.694915254237288
10,other,0.01694915254237288,depressants,1.694915254237288
11,other,0.025423728813559324,depressants,2.5423728813559325
12,other,0.025423728813559324,depressants,2.5423728813559325
13,other,0.025423728813559324,depressants,2.5423728813559325
14,other,0.025423728813559324,depressants,2.5423728813559325
15,other,0.025423728813559324,depressants,2.5423728813559325
16,valium,0.0847457627118644,depressants,8.47457627118644
17,benzodiazepines,0.0847457627118644,depressants,8.47457627118644
18,ambien,0.19491525423728814,depressants,19.491525423728813
19,xanax,0.4067796610169492,depressants,40.67796610169492
20,k2,1.0,designer_drugs,100.0
21,dxm,0.08333333333333333,drugs_of_concern,8.333333333333332
22,dextromethorphan,0.08333333333333333,drugs_of_concern,8.333333333333332
23,salvia,0.25,drugs_of_concern,25.0
24,kratom,0.5833333333333334,drugs_of_concern,58.333333333333336
25,other,0.0022988505747126436,hallucinogens,0.22988505747126436
26,other,0.0022988505747126436,hallucinogens,0.22988505747126436
27,other,0.0022988505747126436,hallucinogens,0.22988505747126436
28,other,0.004597701149425287,hallucinogens,0.45977011494252873
29,other,0.006896551724137931,hallucinogens,0.6896551724137931
30,other,0.009195402298850575,hallucinogens,0.9195402298850575
31,other,0.011494252873563218,hallucinogens,1.1494252873563218
32,other,0.01839080459770115,hallucinogens,1.839080459770115
33,other,0.029885057471264367,hallucinogens,2.9885057471264367
34,other,0.0367816091954023,hallucinogens,3.67816091954023
35,lsd,0.0735632183908046,hallucinogens,7.35632183908046
36,pcp,0.08505747126436781,hallucinogens,8.505747126436782
37,ecstasy,0.11494252873563218,hallucinogens,11.494252873563218
38,acid,0.6022988505747127,hallucinogens,60.229885057471265
39,other,0.009174311926605505,miscellaneous,0.9174311926605505
40,other,0.009174311926605505,miscellaneous,0.9174311926605505
41,other,0.009174311926605505,miscellaneous,0.9174311926605505
42,other,0.009174311926605505,miscellaneous,0.9174311926605505
43,other,0.03669724770642202,miscellaneous,3.669724770642202
44,other,0.03669724770642202,miscellaneous,3.669724770642202
45,steroids,0.8899082568807339,miscellaneous,88.9908256880734
46,other,0.0005733944954128441,narcotics,0.05733944954128441
47,other,0.0005733944954128441,narcotics,0.05733944954128441
48,other,0.0005733944954128441,narcotics,0.05733944954128441
49,other,0.0017201834862385322,narcotics,0.17201834862385323
50,other,0.0028669724770642203,narcotics,0.286697247706422
51,other,0.0028669724770642203,narcotics,0.286697247706422
52,other,0.0034403669724770644,narcotics,0.34403669724770647
53,other,0.0034403669724770644,narcotics,0.34403669724770647
54,other,0.006880733944954129,narcotics,0.6880733944954129
55,other,0.010894495412844037,narcotics,1.0894495412844036
56,other,0.01261467889908257,narcotics,1.261467889908257
57,other,0.013761467889908258,narcotics,1.3761467889908259
58,other,0.016628440366972478,narcotics,1.662844036697248
59,other,0.04415137614678899,narcotics,4.415137614678899
60,other,0.04415137614678899,narcotics,4.415137614678899
61,oxycodone,0.059059633027522936,narcotics,5.905963302752293
62,fentanyl,0.16112385321100917,narcotics,16.112385321100916
63,heroin,0.6146788990825688,narcotics,61.46788990825688
64,other,0.008670520231213872,stimulants,0.8670520231213872
65,other,0.02601156069364162,stimulants,2.601156069364162
66,adderall,0.05346820809248555,stimulants,5.346820809248555
67,meth,0.10115606936416185,stimulants,10.115606936416185
68,methamphetamine,0.10549132947976879,stimulants,10.54913294797688
69,cocaine,0.7052023121387283,stimulants,70.52023121387283
70,other,0.030303030303030304,treatment,3.0303030303030303
71,suboxone,0.08585858585858586,treatment,8.585858585858585
72,buprenorphine,0.12794612794612795,treatment,12.794612794612794
73,narcan,0.18686868686868688,treatment,18.68686868686869
74,naloxone,0.2676767676767677,treatment,26.767676767676768
75,methadone,0.30134680134680136,treatment,30.134680134680135
