,1,0,drug_class
0,weed,330,cannabis
1,cannabis,575,cannabis
2,marijuana,1377,cannabis
3,ambien,23,depressants
4,xanax,48,depressants
5,k2,16,designer_drugs
6,ketamine,15,hallucinogens
7,lsd,30,hallucinogens
8,pcp,37,hallucinogens
9,ecstasy,46,hallucinogens
10,acid,260,hallucinogens
11,steroids,96,miscellaneous
12,hydrocodone,19,narcotics
13,vicodin,22,narcotics
14,demerol,24,narcotics
15,opana,28,narcotics
16,oxycontin,76,narcotics
17,percocet,77,narcotics
18,oxycodone,101,narcotics
19,fentanyl,269,narcotics
20,heroin,1055,narcotics
21,amphetamine,18,stimulants
22,adderall,37,stimulants
23,meth,69,stimulants
24,methamphetamine,73,stimulants
25,cocaine,487,stimulants
26,naltrexone,17,treatment
27,suboxone,51,treatment
28,buprenorphine,73,treatment
29,narcan,107,treatment
30,naloxone,153,treatment
31,methadone,173,treatment
